temp	time
61.53	01:37:11
61.52	01:37:21
61.53	01:37:31
61.55	01:37:41
61.52	01:37:51
61.53	01:38:02
61.55	01:38:12
61.54	01:38:22
61.53	01:38:32
61.52	01:38:42
61.53	01:38:52
61.54	01:39:02
61.54	01:39:12
61.52	01:39:22
61.54	01:39:32
61.52	01:39:42
61.53	01:39:52
61.53	01:40:02
61.53	01:40:12
61.53	01:40:23
61.53	01:40:33
61.54	01:40:43
61.53	01:40:53
61.53	01:41:03
61.56	01:41:13
61.53	01:41:23
61.54	01:41:33
61.54	01:41:43
61.54	01:41:53
61.53	01:42:03
61.52	01:42:13
61.52	01:42:23
61.54	01:42:34
61.53	01:42:44
61.52	01:42:54
61.54	01:43:04
61.53	01:43:14
61.52	01:43:24
61.54	01:43:34
61.51	01:43:44
61.53	01:43:54
61.53	01:44:04
61.52	01:44:14
61.53	01:44:24
61.54	01:44:34
61.53	01:44:44
61.53	01:44:55
61.53	01:45:05
61.53	01:45:15
61.52	01:45:25
61.50	01:45:35
61.53	01:45:45
61.52	01:45:55
61.53	01:46:05
61.51	01:46:15
61.53	01:46:25
61.51	01:46:35
61.51	01:46:45
61.53	01:46:55
61.54	01:47:05
61.53	01:47:16
61.54	01:47:26
61.51	01:47:36
61.50	01:47:46
61.52	01:47:56
61.52	01:48:06
61.53	01:48:16
61.53	01:48:26
61.52	01:48:36
61.51	01:48:46
61.54	01:48:56
61.52	01:49:06
61.52	01:49:16
61.53	01:49:27
61.52	01:49:37
61.54	01:49:47
61.52	01:49:57
61.51	01:50:07
61.53	01:50:17
61.53	01:50:27
61.53	01:50:37
61.52	01:50:47
61.54	01:50:57
61.50	01:51:07
61.50	01:51:17
61.53	01:51:27
61.54	01:51:37
61.49	01:51:48
61.52	01:51:58
61.49	01:52:08
61.50	01:52:18
61.49	01:52:28
61.51	01:52:38
61.52	01:52:48
61.48	01:52:58
61.52	01:53:08
61.50	01:53:18
61.49	01:53:28
61.52	01:53:38
61.44	01:53:48
61.49	01:53:59
61.49	01:54:09
61.50	01:54:19
61.48	01:54:29
61.49	01:54:39
61.49	01:54:49
61.49	01:54:59
61.49	01:55:09
61.52	01:55:19
61.48	01:55:29
61.49	01:55:39
61.49	01:55:49
61.49	01:55:59
61.48	01:56:09
61.49	01:56:20
61.50	01:56:30
61.48	01:56:40
61.53	01:56:50
61.50	01:57:00
61.48	01:57:10
61.49	01:57:20
61.50	01:57:30
61.49	01:57:40
61.50	01:57:50
61.43	01:58:00
61.45	01:58:10
61.46	01:58:20
61.49	01:58:30
61.51	01:58:41
61.46	01:58:51
61.47	01:59:01
61.47	01:59:11
61.44	01:59:21
61.48	01:59:31
61.47	01:59:41
61.47	01:59:51
61.51	02:00:01
61.44	02:00:11
61.49	02:00:21
61.46	02:00:31
61.49	02:00:41
61.48	02:00:52
61.48	02:01:02
61.43	02:01:12
61.49	02:01:22
61.45	02:01:32
61.43	02:01:42
61.48	02:01:52
61.51	02:02:02
61.43	02:02:12
61.48	02:02:22
61.49	02:02:32
61.42	02:02:42
61.47	02:02:52
61.46	02:03:02
61.45	02:03:13
61.40	02:03:23
61.44	02:03:33
61.41	02:03:43
61.49	02:03:53
61.44	02:04:03
61.44	02:04:13
61.45	02:04:23
61.49	02:04:33
61.45	02:04:43
61.43	02:04:53
61.44	02:05:03
61.44	02:05:13
61.47	02:05:24
61.43	02:05:34
61.41	02:05:44
61.43	02:05:54
61.39	02:06:04
61.41	02:06:14
61.36	02:06:24
61.42	02:06:34
61.38	02:06:44
61.41	02:06:54
61.45	02:07:04
61.46	02:07:14
61.38	02:07:24
61.42	02:07:34
61.41	02:07:45
61.42	02:07:55
61.41	02:08:05
61.42	02:08:15
61.42	02:08:25
61.40	02:08:35
61.38	02:08:45
61.40	02:08:55
61.37	02:09:05
61.38	02:09:15
61.33	02:09:25
61.32	02:09:35
61.42	02:09:45
61.28	02:09:56
61.27	02:10:06
61.27	02:10:16
61.35	02:10:26
61.35	02:10:36
61.34	02:10:46
61.34	02:10:56
61.35	02:11:06
61.35	02:11:16
61.30	02:11:26
61.27	02:11:36
61.32	02:11:46
61.35	02:11:56
61.28	02:12:06
61.27	02:12:17
61.35	02:12:27
61.36	02:12:37
61.36	02:12:47
61.27	02:12:57
61.33	02:13:07
61.37	02:13:17
61.28	02:13:27
61.35	02:13:37
61.37	02:13:47
61.24	02:13:57
61.35	02:14:07
61.29	02:14:17
61.31	02:14:27
61.26	02:14:38
61.27	02:14:48
61.27	02:14:58
61.27	02:15:08
61.27	02:15:18
61.21	02:15:28
61.24	02:15:38
61.23	02:15:48
61.27	02:15:58
61.27	02:16:08
61.20	02:16:18
61.29	02:16:28
61.20	02:16:38
61.30	02:16:49
61.26	02:16:59
61.27	02:17:09
61.26	02:17:19
61.21	02:17:29
61.17	02:17:39
61.26	02:17:49
61.23	02:17:59
61.18	02:18:09
61.24	02:18:19
61.21	02:18:29
61.13	02:18:39
61.20	02:18:49
61.14	02:18:59
61.19	02:19:10
61.19	02:19:20
61.18	02:19:30
61.21	02:19:40
61.19	02:19:50
61.26	02:20:00
61.13	02:20:10
61.14	02:20:20
61.01	02:20:30
61.14	02:20:40
61.14	02:20:50
61.23	02:21:00
61.17	02:21:10
61.11	02:21:21
61.06	02:21:31
61.14	02:21:41
61.14	02:21:51
61.12	02:22:01
61.07	02:22:11
61.12	02:22:21
61.07	02:22:31
60.93	02:22:41
61.22	02:22:51
61.13	02:23:01
60.99	02:23:11
60.97	02:23:21
60.90	02:23:31
61.15	02:23:42
61.11	02:23:52
60.88	02:24:02
61.11	02:24:12
61.06	02:24:22
61.05	02:24:32
61.15	02:24:42
61.12	02:24:52
61.08	02:25:02
61.19	02:25:12
61.05	02:25:22
61.04	02:25:32
61.11	02:25:42
61.09	02:25:52
60.98	02:26:03
60.98	02:26:13
61.16	02:26:23
61.10	02:26:33
60.97	02:26:43
61.18	02:26:53
61.13	02:27:03
61.06	02:27:13
61.08	02:27:23
61.08	02:27:33
60.95	02:27:43
60.99	02:27:53
60.98	02:28:03
60.98	02:28:14
61.01	02:28:24
60.96	02:28:34
61.02	02:28:44
61.05	02:28:54
61.08	02:29:04
61.08	02:29:14
61.05	02:29:24
61.04	02:29:34
61.01	02:29:44
61.03	02:29:54
60.94	02:30:04
60.98	02:30:14
61.05	02:30:24
61.01	02:30:35
60.99	02:30:45
60.94	02:30:55
60.92	02:31:05
60.91	02:31:15
60.92	02:31:25
60.95	02:31:35
60.98	02:31:45
60.90	02:31:55
60.93	02:32:05
60.92	02:32:15
60.96	02:32:25
60.99	02:32:35
60.99	02:32:46
60.93	02:32:56
60.98	02:33:06
60.93	02:33:16
61.01	02:33:26
60.87	02:33:36
60.95	02:33:46
60.91	02:33:56
60.98	02:34:06
60.98	02:34:16
60.90	02:34:26
60.92	02:34:36
60.92	02:34:46
60.97	02:34:56
60.91	02:35:07
60.88	02:35:17
60.95	02:35:27
60.91	02:35:37
60.91	02:35:47
60.93	02:35:57
60.89	02:36:07
60.83	02:36:17
60.93	02:36:27
60.89	02:36:37
60.91	02:36:47
60.91	02:36:57
60.91	02:37:07
60.89	02:37:17
60.82	02:37:28
60.83	02:37:38
60.83	02:37:48
60.86	02:37:58
60.84	02:38:08
60.87	02:38:18
60.85	02:38:28
60.83	02:38:38
60.89	02:38:48
60.95	02:38:58
60.87	02:39:08
60.91	02:39:18
60.86	02:39:28
60.91	02:39:39
60.88	02:39:49
60.83	02:39:59
60.84	02:40:09
60.96	02:40:19
60.89	02:40:29
60.82	02:40:39
60.87	02:40:49
60.81	02:40:59
60.86	02:41:09
60.86	02:41:19
60.83	02:41:29
60.91	02:41:39
60.76	02:41:49
60.80	02:42:00
60.82	02:42:10
60.85	02:42:20
60.75	02:42:30
60.79	02:42:40
60.84	02:42:50
60.82	02:43:00
60.83	02:43:10
60.75	02:43:20
60.83	02:43:30
60.80	02:43:40
60.79	02:43:50
60.82	02:44:00
60.78	02:44:11
60.75	02:44:21
60.79	02:44:31
60.74	02:44:41
60.83	02:44:51
60.83	02:45:01
60.74	02:45:11
60.78	02:45:21
60.79	02:45:31
60.76	02:45:41
60.76	02:45:51
60.79	02:46:01
60.72	02:46:11
60.72	02:46:21
60.78	02:46:32
60.78	02:46:42
60.79	02:46:52
60.82	02:47:02
60.76	02:47:12
60.76	02:47:22
60.80	02:47:32
60.72	02:47:42
60.79	02:47:52
60.81	02:48:02
60.77	02:48:12
60.74	02:48:22
60.76	02:48:32
60.81	02:48:42
60.75	02:48:53
60.76	02:49:03
60.74	02:49:13
60.80	02:49:23
60.76	02:49:33
60.71	02:49:43
60.76	02:49:53
60.75	02:50:03
60.69	02:50:13
60.74	02:50:23
60.70	02:50:33
60.73	02:50:43
60.71	02:50:53
60.76	02:51:04
60.70	02:51:14
60.78	02:51:24
60.72	02:51:34
60.76	02:51:44
60.74	02:51:54
60.69	02:52:04
60.73	02:52:14
60.75	02:52:24
60.71	02:52:34
60.70	02:52:44
60.74	02:52:54
60.77	02:53:04
60.71	02:53:14
60.69	02:53:25
60.75	02:53:35
60.69	02:53:45
60.75	02:53:55
60.70	02:54:05
60.74	02:54:15
60.74	02:54:25
60.68	02:54:35
60.69	02:54:45
60.70	02:54:55
60.67	02:55:05
60.69	02:55:15
60.69	02:55:25
60.68	02:55:36
60.72	02:55:46
60.69	02:55:56
60.75	02:56:06
60.70	02:56:16
60.69	02:56:26
60.71	02:56:36
60.70	02:56:46
60.72	02:56:56
60.70	02:57:06
60.69	02:57:16
60.68	02:57:26
60.74	02:57:36
